,Locality,Place,Property Size (sq. meters),Number of Floors,Building Material,Total Material Cost (INR),Total Labor Cost (INR),Permit Cost (INR),Utility Cost (INR),Bedrooms,Bathrooms,Supplier,Area of One Room (sq. meters),Cement Cost (INR per bag),Construction Cost (INR),Total Area of House (sq. meters),Number of Doors,Number of Windows,Number of Rooms,Total Cost (INR)
15,South Delhi,Malviya Nagar,240,3,Concrete,4700000,2200000,180000,120000,4,3,KLM Builders,26,440,6500000,260,14,12,10,10200000
16,North Delhi,Shalimar Bagh,190,2,Wood,3900000,1800000,140000,90000,4,3,NOP Materials,22,400,5700000,220,12,10,9,8445000
17,East Delhi,Dilshad Garden,220,2,Brick,3600000,1700000,140000,95000,3,2,QRS Suppliers,21,410,5300000,220,10,8,7,7325000
18,West Delhi,Punjabi Bagh,200,1,Concrete,3300000,1600000,130000,85000,3,2,TUV Construction,20,390,4500000,180,8,7,7,5495000
19,Central Delhi,Rajiv Chowk,210,2,Wood,3800000,1900000,160000,110000,4,3,WXY Builders,23,400,5500000,220,12,10,9,7685000
20,South Delhi,Green Park,260,3,Concrete,4900000,2300000,190000,125000,5,4,ZAB Constructions,28,460,7100000,280,16,14,12,10550000
21,North Delhi,Ashok Vihar,200,2,Brick,3700000,1800000,140000,90000,4,3,LKJ Materials,22,420,5600000,220,12,10,9,8020000
22,East Delhi,Shakarpur,220,3,Wood,4300000,2000000,160000,110000,4,3,RST Builders,24,430,6200000,240,14,12,10,10100000
23,West Delhi,Tilak Nagar,210,2,Concrete,3900000,1800000,140000,95000,3,2,OPQ Suppliers,23,410,5700000,220,12,10,9,8345000
24,Central Delhi,Daryaganj,190,1,Brick,3100000,1500000,120000,80000,3,2,NST Construction,21,380,4200000,190,8,7,7,4665000
25,South Delhi,Greater Kailash,240,2,Wood,4200000,2000000,160000,110000,4,3,WZA Constructions,25,430,5800000,240,14,12,10,9560000
26,North Delhi,Azadpur,180,1,Concrete,3200000,1600000,130000,85000,3,2,UVB Builders,20,390,4400000,180,8,7,7,5545000
27,East Delhi,Karkardooma,210,2,Wood,3800000,1900000,160000,110000,4,3,XYS Suppliers,23,400,5500000,220,12,10,9,7685000
28,West Delhi,Rajendra Nagar,220,2,Brick,3600000,1700000,140000,95000,3,2,FGL Materials,22,410,5200000,220,10,8,7,7305000
29,Central Delhi,ITO,200,1,Concrete,3300000,1600000,130000,85000,3,2,CXY Constructions,20,390,4500000,180,8,7,7,5495000
30,South Delhi,Lajpat Nagar,240,2,Wood,4000000,1900000,160000,110000,4,3,MNP Builders,24,420,5800000,240,12,10,9,9560000
31,North Delhi,Kamla Nagar,190,1,Brick,3100000,1500000,120000,80000,3,2,KLO Materials,21,380,4200000,190,8,6,7,4665000
32,East Delhi,Geeta Colony,210,2,Concrete,3700000,1800000,140000,95000,4,3,KIO Constructions,23,400,5500000,220,14,12,10,7745000
33,West Delhi,Patel Nagar,220,2,Wood,3900000,1800000,140000,90000,4,3,WER Suppliers,22,410,5200000,220,10,8,7,7305000
34,Central Delhi,Pragati Maidan,200,1,Concrete,3200000,1600000,130000,85000,3,2,IOP Builders,20,390,4500000,180,8,7,7,5495000
35,South Delhi,Vasant Vihar,200,2,Brick,3800000,1900000,160000,120000,4,3,ABC Building Supply,20,410,5400000,220,10,8,8,7420000
36,North Delhi,Pitampura,180,1,Concrete,2800000,1300000,110000,75000,3,2,XYZ Materials,22,380,4200000,180,8,6,7,4425000
37,East Delhi,Mayur Vihar,220,3,Wood,4500000,2100000,170000,95000,4,3,LMN Suppliers,24,430,6200000,240,12,10,9,8895000
38,West Delhi,Rajouri Garden,190,2,Brick,3600000,1700000,140000,90000,3,2,DEF Construction,19,400,5000000,200,9,7,7,6750000
39,Central Delhi,Connaught Place,210,2,Concrete,4000000,1800000,150000,100000,3,2,GHI Builders,22,390,5400000,210,10,8,8,7560000
40,South Delhi,Hauz Khas,240,3,Concrete,4800000,2200000,180000,120000,4,3,JKL Supplies,25,450,6800000,260,14,12,10,9920000
41,North Delhi,Model Town,180,1,Brick,2900000,1400000,105000,72000,3,2,MNO Construction,21,360,4000000,190,8,7,6,4465000
42,East Delhi,Laxmi Nagar,210,2,Wood,3900000,1800000,140000,90000,3,2,PQR Builders,23,400,5500000,220,12,10,9,8200000
43,West Delhi,Janakpuri,220,2,Brick,3600000,1700000,140000,95000,3,2,STU Materials,22,410,5200000,220,10,8,7,7305000
44,Central Delhi,Karol Bagh,200,1,Concrete,3200000,1600000,130000,85000,3,2,VWX Suppliers,20,390,4500000,180,8,7,7,5495000
45,South Delhi,Saket,240,2,Wood,4200000,2000000,160000,110000,4,3,YZA Construction,25,420,5800000,240,12,10,9,9560000
46,North Delhi,Rohini,190,1,Brick,3100000,1500000,120000,80000,3,2,BCD Materials,19,370,4300000,190,8,6,7,5055000
47,East Delhi,Preet Vihar,210,2,Concrete,3700000,1800000,140000,95000,4,3,CDE Builders,24,420,5700000,220,14,12,10,7745000
48,West Delhi,Dwarka,220,2,Wood,4000000,1900000,160000,110000,4,3,EFG Suppliers,25,430,6000000,240,12,10,9,8380000
49,Central Delhi,Chandni Chowk,180,1,Brick,3200000,1600000,130000,85000,3,2,HIJ Construction,20,390,4600000,180,8,7,7,5545000
50,South Delhi,Malviya Nagar,240,3,Concrete,4700000,2200000,180000,120000,4,3,KLM Builders,26,440,6500000,260,14,12,10,10200000
51,North Delhi,Shalimar Bagh,190,2,Wood,3900000,1800000,140000,90000,4,3,NOP Materials,22,400,5700000,220,12,10,9,8445000
52,East Delhi,Dilshad Garden,220,2,Brick,3600000,1700000,140000,95000,3,2,QRS Suppliers,21,410,5300000,220,10,8,7,7325000
53,West Delhi,Punjabi Bagh,200,1,Concrete,3300000,1600000,130000,85000,3,2,TUV Construction,20,390,4500000,180,8,7,7,5495000
54,Central Delhi,Rajiv Chowk,210,2,Wood,3800000,1900000,160000,110000,4,3,WXY Builders,23,400,5500000,220,12,10,9,7685000
55,South Delhi,Green Park,260,3,Concrete,4900000,2300000,190000,125000,5,4,ZAB Constructions,28,460,7100000,280,16,14,12,10550000
56,North Delhi,Ashok Vihar,200,2,Brick,3700000,1800000,140000,90000,4,3,LKJ Materials,22,420,5600000,220,12,10,9,8020000
57,East Delhi,Shakarpur,220,3,Wood,4300000,2000000,160000,110000,4,3,RST Builders,24,430,6200000,240,14,12,10,10100000
58,West Delhi,Tilak Nagar,210,2,Concrete,3900000,1800000,140000,95000,3,2,OPQ Suppliers,23,410,5700000,220,12,10,9,8345000
59,Central Delhi,Daryaganj,190,1,Brick,3100000,1500000,120000,80000,3,2,NST Construction,21,380,4200000,190,8,7,7,4665000
60,South Delhi,Greater Kailash,240,2,Wood,4200000,2000000,160000,110000,4,3,WZA Constructions,25,430,5800000,240,14,12,10,9560000
61,North Delhi,Azadpur,180,1,Concrete,3200000,1600000,130000,85000,3,2,UVB Builders,20,390,4400000,180,8,7,7,5545000
62,East Delhi,Karkardooma,210,2,Wood,3800000,1900000,160000,110000,4,3,XYS Suppliers,23,400,5500000,220,12,10,9,7685000
63,West Delhi,Rajendra Nagar,220,2,Brick,3600000,1700000,140000,95000,3,2,FGL Materials,22,410,5200000,220,10,8,7,7305000
64,Central Delhi,ITO,200,1,Concrete,3300000,1600000,130000,85000,3,2,CXY Constructions,20,390,4500000,180,8,7,7,5495000
65,South Delhi,Lajpat Nagar,240,2,Wood,4000000,1900000,160000,110000,4,3,MNP Builders,24,420,5800000,240,12,10,9,9560000
66,North Delhi,Kamla Nagar,190,1,Brick,3100000,1500000,120000,80000,3,2,KLO Materials,21,380,4200000,190,8,6,7,4665000
67,East Delhi,Geeta Colony,210,2,Concrete,3700000,1800000,140000,95000,4,3,KIO Constructions,23,400,5500000,220,14,12,10,7745000
68,West Delhi,Patel Nagar,220,2,Wood,3900000,1800000,140000,90000,4,3,WER Suppliers,22,410,5200000,220,10,8,7,7305000
69,Central Delhi,Pragati Maidan,200,1,Concrete,3200000,1600000,130000,85000,3,2,IOP Builders,20,390,4500000,180,8,7,7,5495000
70,South Delhi,Vasant Vihar,200,2,Brick,3800000,1900000,160000,120000,4,3,ABC Building Supply,20,410,5400000,220,10,8,8,7420000
71,North Delhi,Pitampura,180,1,Concrete,2800000,1300000,110000,75000,3,2,XYZ Materials,22,380,4200000,180,8,6,7,4425000
72,East Delhi,Mayur Vihar,220,3,Wood,4500000,2100000,170000,95000,4,3,LMN Suppliers,24,430,6200000,240,12,10,9,8895000
73,West Delhi,Rajouri Garden,190,2,Brick,3600000,1700000,140000,90000,3,2,DEF Construction,19,400,5000000,200,9,7,7,6750000
74,Central Delhi,Connaught Place,210,2,Concrete,4000000,1800000,150000,100000,3,2,GHI Builders,22,390,5400000,210,10,8,8,7560000
75,South Delhi,Hauz Khas,240,3,Concrete,4800000,2200000,180000,120000,4,3,JKL Supplies,25,450,6800000,260,14,12,10,9920000
76,North Delhi,Model Town,180,1,Brick,2900000,1400000,105000,72000,3,2,MNO Construction,21,360,4000000,190,8,7,6,4465000
77,East Delhi,Laxmi Nagar,210,2,Wood,3900000,1800000,140000,90000,3,2,PQR Builders,23,400,5500000,220,12,10,9,8200000
78,West Delhi,Janakpuri,220,2,Brick,3600000,1700000,140000,95000,3,2,STU Materials,22,410,5200000,220,10,8,7,7305000
79,Central Delhi,Karol Bagh,200,1,Concrete,3200000,1600000,130000,85000,3,2,VWX Suppliers,20,390,4500000,180,8,7,7,5495000
80,South Delhi,Saket,240,2,Wood,4200000,2000000,160000,110000,4,3,YZA Construction,25,420,5800000,240,12,10,9,9560000
81,North Delhi,Rohini,190,1,Brick,3100000,1500000,120000,80000,3,2,BCD Materials,19,370,4300000,190,8,6,7,5055000
82,East Delhi,Preet Vihar,210,2,Concrete,3700000,1800000,140000,95000,4,3,CDE Builders,24,420,5700000,220,14,12,10,7745000
83,West Delhi,Dwarka,220,2,Wood,4000000,1900000,160000,110000,4,3,EFG Suppliers,25,430,6000000,240,12,10,9,8380000
84,Central Delhi,Chandni Chowk,180,1,Brick,3200000,1600000,130000,85000,3,2,HIJ Construction,20,390,4600000,180,8,7,7,5545000
85,South Delhi,Malviya Nagar,240,3,Concrete,4700000,2200000,180000,120000,4,3,KLM Builders,26,440,6500000,260,14,12,10,10200000
86,North Delhi,Shalimar Bagh,190,2,Wood,3900000,1800000,140000,90000,4,3,NOP Materials,22,400,5700000,220,12,10,9,8445000
87,East Delhi,Dilshad Garden,220,2,Brick,3600000,1700000,140000,95000,3,2,QRS Suppliers,21,410,5300000,220,10,8,7,7325000
88,West Delhi,Punjabi Bagh,200,1,Concrete,3300000,1600000,130000,85000,3,2,TUV Construction,20,390,4500000,180,8,7,7,5495000
89,Central Delhi,Rajiv Chowk,210,2,Wood,3800000,1900000,160000,110000,4,3,WXY Builders,23,400,5500000,220,12,10,9,7685000
90,South Delhi,Green Park,260,3,Concrete,4900000,2300000,190000,125000,5,4,ZAB Constructions,28,460,7100000,280,16,14,12,10550000
91,North Delhi,Ashok Vihar,200,2,Brick,3700000,1800000,140000,90000,4,3,LKJ Materials,22,420,5600000,220,12,10,9,8020000
92,East Delhi,Shakarpur,220,3,Wood,4300000,2000000,160000,110000,4,3,RST Builders,24,430,6200000,240,14,12,10,10100000
93,West Delhi,Tilak Nagar,210,2,Concrete,3900000,1800000,140000,95000,3,2,OPQ Suppliers,23,410,5700000,220,12,10,9,8345000
94,Central Delhi,Daryaganj,190,1,Brick,3100000,1500000,120000,80000,3,2,NST Construction,21,380,4200000,190,8,7,7,4665000
95,South Delhi,Greater Kailash,240,2,Wood,4200000,2000000,160000,110000,4,3,WZA Constructions,25,430,5800000,240,14,12,10,9560000
96,North Delhi,Azadpur,180,1,Concrete,3200000,1600000,130000,85000,3,2,UVB Builders,20,390,4400000,180,8,7,7,5545000
97,East Delhi,Karkardooma,210,2,Wood,3800000,1900000,160000,110000,4,3,XYS Suppliers,23,400,5500000,220,12,10,9,7685000
98,West Delhi,Rajendra Nagar,220,2,Brick,3600000,1700000,140000,95000,3,2,FGL Materials,22,410,5200000,220,10,8,7,7305000
99,Central Delhi,ITO,200,1,Concrete,3300000,1600000,130000,85000,3,2,CXY Constructions,20,390,4500000,180,8,7,7,5495000
100,South Delhi,Lajpat Nagar,240,2,Wood,4000000,1900000,160000,110000,4,3,MNP Builders,24,420,5800000,240,12,10,9,9560000
101,North Delhi,Kamla Nagar,190,1,Brick,3100000,1500000,120000,80000,3,2,KLO Materials,21,380,4200000,190,8,6,7,4665000
102,East Delhi,Geeta Colony,210,2,Concrete,3700000,1800000,140000,95000,4,3,KIO Constructions,23,400,5500000,220,14,12,10,7745000
103,West Delhi,Patel Nagar,220,2,Wood,3900000,1800000,140000,90000,4,3,WER Suppliers,22,410,5200000,220,10,8,7,7305000
104,Central Delhi,Pragati Maidan,200,1,Concrete,3200000,1600000,130000,85000,3,2,IOP Builders,20,390,4500000,180,8,7,7,5495000
105,South Delhi,Vasant Vihar,200,2,Brick,3800000,1900000,160000,120000,4,3,ABC Building Supply,20,410,5400000,220,10,8,8,7420000
106,North Delhi,Pitampura,180,1,Concrete,2800000,1300000,110000,75000,3,2,XYZ Materials,22,380,4200000,180,8,6,7,4425000
107,East Delhi,Mayur Vihar,220,3,Wood,4500000,2100000,170000,95000,4,3,LMN Suppliers,24,430,6200000,240,12,10,9,8895000
108,West Delhi,Rajouri Garden,190,2,Brick,3600000,1700000,140000,90000,3,2,DEF Construction,19,400,5000000,200,9,7,7,6750000
109,Central Delhi,Connaught Place,210,2,Concrete,4000000,1800000,150000,100000,3,2,GHI Builders,22,390,5400000,210,10,8,8,7560000
110,South Delhi,Hauz Khas,240,3,Concrete,4800000,2200000,180000,120000,4,3,JKL Supplies,25,450,6800000,260,14,12,10,9920000
111,North Delhi,Model Town,180,1,Brick,2900000,1400000,105000,72000,3,2,MNO Construction,21,360,4000000,190,8,7,6,4465000
112,East Delhi,Laxmi Nagar,210,2,Wood,3900000,1800000,140000,90000,3,2,PQR Builders,23,400,5500000,220,12,10,9,8200000
113,West Delhi,Janakpuri,220,2,Brick,3600000,1700000,140000,95000,3,2,STU Materials,22,410,5200000,220,10,8,7,7305000
114,Central Delhi,Karol Bagh,200,1,Concrete,3200000,1600000,130000,85000,3,2,VWX Suppliers,20,390,4500000,180,8,7,7,5495000
115,South Delhi,Saket,240,2,Wood,4200000,2000000,160000,110000,4,3,YZA Construction,25,420,5800000,240,12,10,9,9560000
116,North Delhi,Rohini,190,1,Brick,3100000,1500000,120000,80000,3,2,BCD Materials,19,370,4300000,190,8,6,7,5055000
117,East Delhi,Preet Vihar,210,2,Concrete,3700000,1800000,140000,95000,4,3,CDE Builders,24,420,5700000,220,14,12,10,7745000
118,West Delhi,Dwarka,220,2,Wood,4000000,1900000,160000,110000,4,3,EFG Suppliers,25,430,6000000,240,12,10,9,8380000
119,Central Delhi,Chandni Chowk,180,1,Brick,3200000,1600000,130000,85000,3,2,HIJ Construction,20,390,4600000,180,8,7,7,5545000
120,South Delhi,Malviya Nagar,240,3,Concrete,4700000,2200000,180000,120000,4,3,KLM Builders,26,440,6500000,260,14,12,10,10200000
121,North Delhi,Shalimar Bagh,190,2,Wood,3900000,1800000,140000,90000,4,3,NOP Materials,22,400,5700000,220,12,10,9,8445000
122,East Delhi,Dilshad Garden,220,2,Brick,3600000,1700000,140000,95000,3,2,QRS Suppliers,21,410,5300000,220,10,8,7,7325000
123,West Delhi,Punjabi Bagh,200,1,Concrete,3300000,1600000,130000,85000,3,2,TUV Construction,20,390,4500000,180,8,7,7,5495000
124,Central Delhi,Rajiv Chowk,210,2,Wood,3800000,1900000,160000,110000,4,3,WXY Builders,23,400,5500000,220,12,10,9,7685000
125,South Delhi,Green Park,260,3,Concrete,4900000,2300000,190000,125000,5,4,ZAB Constructions,28,460,7100000,280,16,14,12,10550000
126,North Delhi,Ashok Vihar,200,2,Brick,3700000,1800000,140000,90000,4,3,LKJ Materials,22,420,5600000,220,12,10,9,8020000
127,East Delhi,Shakarpur,220,3,Wood,4300000,2000000,160000,110000,4,3,RST Builders,24,430,6200000,240,14,12,10,10100000
128,West Delhi,Tilak Nagar,210,2,Concrete,3900000,1800000,140000,95000,3,2,OPQ Suppliers,23,410,5700000,220,12,10,9,8345000
129,Central Delhi,Daryaganj,190,1,Brick,3100000,1500000,120000,80000,3,2,NST Construction,21,380,4200000,190,8,7,7,4665000
130,South Delhi,Greater Kailash,240,2,Wood,4200000,2000000,160000,110000,4,3,WZA Constructions,25,430,5800000,240,14,12,10,9560000
131,North Delhi,Azadpur,180,1,Concrete,3200000,1600000,130000,85000,3,2,UVB Builders,20,390,4400000,180,8,7,7,5545000
132,East Delhi,Karkardooma,210,2,Wood,3800000,1900000,160000,110000,4,3,XYS Suppliers,23,400,5500000,220,12,10,9,7685000
133,West Delhi,Rajendra Nagar,220,2,Brick,3600000,1700000,140000,95000,3,2,FGL Materials,22,410,5200000,220,10,8,7,7305000
134,Central Delhi,ITO,200,1,Concrete,3300000,1600000,130000,85000,3,2,CXY Constructions,20,390,4500000,180,8,7,7,5495000
135,South Delhi,Lajpat Nagar,240,2,Wood,4000000,1900000,160000,110000,4,3,MNP Builders,24,420,5800000,240,12,10,9,9560000
136,North Delhi,Kamla Nagar,190,1,Brick,3100000,1500000,120000,80000,3,2,KLO Materials,21,380,4200000,190,8,6,7,4665000
137,East Delhi,Geeta Colony,210,2,Concrete,3700000,1800000,140000,95000,4,3,KIO Constructions,23,400,5500000,220,14,12,10,7745000
138,West Delhi,Patel Nagar,220,2,Wood,3900000,1800000,140000,90000,4,3,WER Suppliers,22,410,5200000,220,10,8,7,7305000
139,Central Delhi,Pragati Maidan,200,1,Concrete,3200000,1600000,130000,85000,3,2,IOP Builders,20,390,4500000,180,8,7,7,5495000
140,South Delhi,Vasant Vihar,200,2,Brick,3800000,1900000,160000,120000,4,3,ABC Building Supply,20,410,5400000,220,10,8,8,7420000
141,North Delhi,Pitampura,180,1,Concrete,2800000,1300000,110000,75000,3,2,XYZ Materials,22,380,4200000,180,8,6,7,4425000
142,East Delhi,Mayur Vihar,220,3,Wood,4500000,2100000,170000,95000,4,3,LMN Suppliers,24,430,6200000,240,12,10,9,8895000
143,West Delhi,Rajouri Garden,190,2,Brick,3600000,1700000,140000,90000,3,2,DEF Construction,19,400,5000000,200,9,7,7,6750000
144,Central Delhi,Connaught Place,210,2,Concrete,4000000,1800000,150000,100000,3,2,GHI Builders,22,390,5400000,210,10,8,8,7560000
145,South Delhi,Hauz Khas,240,3,Concrete,4800000,2200000,180000,120000,4,3,JKL Supplies,25,450,6800000,260,14,12,10,9920000
146,North Delhi,Model Town,180,1,Brick,2900000,1400000,105000,72000,3,2,MNO Construction,21,360,4000000,190,8,7,6,4465000
147,East Delhi,Laxmi Nagar,210,2,Wood,3900000,1800000,140000,90000,3,2,PQR Builders,23,400,5500000,220,12,10,9,8200000
148,West Delhi,Janakpuri,220,2,Brick,3600000,1700000,140000,95000,3,2,STU Materials,22,410,5200000,220,10,8,7,7305000
149,Central Delhi,Karol Bagh,200,1,Concrete,3200000,1600000,130000,85000,3,2,VWX Suppliers,20,390,4500000,180,8,7,7,5495000
150,South Delhi,Saket,240,2,Wood,4200000,2000000,160000,110000,4,3,YZA Construction,25,420,5800000,240,12,10,9,9560000
151,North Delhi,Rohini,190,1,Brick,3100000,1500000,120000,80000,3,2,BCD Materials,19,370,4300000,190,8,6,7,5055000
152,East Delhi,Preet Vihar,210,2,Concrete,3700000,1800000,140000,95000,4,3,CDE Builders,24,420,5700000,220,14,12,10,7745000
153,West Delhi,Dwarka,220,2,Wood,4000000,1900000,160000,110000,4,3,EFG Suppliers,25,430,6000000,240,12,10,9,8380000
154,Central Delhi,Chandni Chowk,180,1,Brick,3200000,1600000,130000,85000,3,2,HIJ Construction,20,390,4600000,180,8,7,7,5545000
155,South Delhi,Malviya Nagar,240,3,Concrete,4700000,2200000,180000,120000,4,3,KLM Builders,26,440,6500000,260,14,12,10,10200000
156,North Delhi,Shalimar Bagh,190,2,Wood,3900000,1800000,140000,90000,4,3,NOP Materials,22,400,5700000,220,12,10,9,8445000
157,East Delhi,Dilshad Garden,220,2,Brick,3600000,1700000,140000,95000,3,2,QRS Suppliers,21,410,5300000,220,10,8,7,7325000
158,West Delhi,Punjabi Bagh,200,1,Concrete,3300000,1600000,130000,85000,3,2,TUV Construction,20,390,4500000,180,8,7,7,5495000
159,Central Delhi,Rajiv Chowk,210,2,Wood,3800000,1900000,160000,110000,4,3,WXY Builders,23,400,5500000,220,12,10,9,7685000
160,South Delhi,Green Park,260,3,Concrete,4900000,2300000,190000,125000,5,4,ZAB Constructions,28,460,7100000,280,16,14,12,10550000
161,North Delhi,Ashok Vihar,200,2,Brick,3700000,1800000,140000,90000,4,3,LKJ Materials,22,420,5600000,220,12,10,9,8020000
162,East Delhi,Shakarpur,220,3,Wood,4300000,2000000,160000,110000,4,3,RST Builders,24,430,6200000,240,14,12,10,10100000
163,West Delhi,Tilak Nagar,210,2,Concrete,3900000,1800000,140000,95000,3,2,OPQ Suppliers,23,410,5700000,220,12,10,9,8345000
164,Central Delhi,Daryaganj,190,1,Brick,3100000,1500000,120000,80000,3,2,NST Construction,21,380,4200000,190,8,7,7,4665000
165,South Delhi,Greater Kailash,240,2,Wood,4200000,2000000,160000,110000,4,3,WZA Constructions,25,430,5800000,240,14,12,10,9560000
166,North Delhi,Azadpur,180,1,Concrete,3200000,1600000,130000,85000,3,2,UVB Builders,20,390,4400000,180,8,7,7,5545000
167,East Delhi,Karkardooma,210,2,Wood,3800000,1900000,160000,110000,4,3,XYS Suppliers,23,400,5500000,220,12,10,9,7685000
168,West Delhi,Rajendra Nagar,220,2,Brick,3600000,1700000,140000,95000,3,2,FGL Materials,22,410,5200000,220,10,8,7,7305000
169,Central Delhi,ITO,200,1,Concrete,3300000,1600000,130000,85000,3,2,CXY Constructions,20,390,4500000,180,8,7,7,5495000
170,South Delhi,Lajpat Nagar,240,2,Wood,4000000,1900000,160000,110000,4,3,MNP Builders,24,420,5800000,240,12,10,9,9560000
171,North Delhi,Kamla Nagar,190,1,Brick,3100000,1500000,120000,80000,3,2,KLO Materials,21,380,4200000,190,8,6,7,4665000
172,East Delhi,Geeta Colony,210,2,Concrete,3700000,1800000,140000,95000,4,3,KIO Constructions,23,400,5500000,220,14,12,10,7745000
173,West Delhi,Patel Nagar,220,2,Wood,3900000,1800000,140000,90000,4,3,WER Suppliers,22,410,5200000,220,10,8,7,7305000
174,Central Delhi,Pragati Maidan,200,1,Concrete,3200000,1600000,130000,85000,3,2,IOP Builders,20,390,4500000,180,8,7,7,5495000
175,South Delhi,Vasant Vihar,200,2,Brick,3800000,1900000,160000,120000,4,3,ABC Building Supply,20,410,5400000,220,10,8,8,7420000
176,North Delhi,Pitampura,180,1,Concrete,2800000,1300000,110000,75000,3,2,XYZ Materials,22,380,4200000,180,8,6,7,4425000
177,East Delhi,Mayur Vihar,220,3,Wood,4500000,2100000,170000,95000,4,3,LMN Suppliers,24,430,6200000,240,12,10,9,8895000
178,West Delhi,Rajouri Garden,190,2,Brick,3600000,1700000,140000,90000,3,2,DEF Construction,19,400,5000000,200,9,7,7,6750000
179,Central Delhi,Connaught Place,210,2,Concrete,4000000,1800000,150000,100000,3,2,GHI Builders,22,390,5400000,210,10,8,8,7560000
180,South Delhi,Hauz Khas,240,3,Concrete,4800000,2200000,180000,120000,4,3,JKL Supplies,25,450,6800000,260,14,12,10,9920000
181,North Delhi,Model Town,180,1,Brick,2900000,1400000,105000,72000,3,2,MNO Construction,21,360,4000000,190,8,7,6,4465000
182,East Delhi,Laxmi Nagar,210,2,Wood,3900000,1800000,140000,90000,3,2,PQR Builders,23,400,5500000,220,12,10,9,8200000
183,West Delhi,Janakpuri,220,2,Brick,3600000,1700000,140000,95000,3,2,STU Materials,22,410,5200000,220,10,8,7,7305000
184,Central Delhi,Karol Bagh,200,1,Concrete,3200000,1600000,130000,85000,3,2,VWX Suppliers,20,390,4500000,180,8,7,7,5495000
185,South Delhi,Saket,240,2,Wood,4200000,2000000,160000,110000,4,3,YZA Construction,25,420,5800000,240,12,10,9,9560000
186,North Delhi,Rohini,190,1,Brick,3100000,1500000,120000,80000,3,2,BCD Materials,19,370,4300000,190,8,6,7,5055000
187,East Delhi,Preet Vihar,210,2,Concrete,3700000,1800000,140000,95000,4,3,CDE Builders,24,420,5700000,220,14,12,10,7745000
188,West Delhi,Dwarka,220,2,Wood,4000000,1900000,160000,110000,4,3,EFG Suppliers,25,430,6000000,240,12,10,9,8380000
189,Central Delhi,Chandni Chowk,180,1,Brick,3200000,1600000,130000,85000,3,2,HIJ Construction,20,390,4600000,180,8,7,7,5545000
190,South Delhi,Malviya Nagar,240,3,Concrete,4700000,2200000,180000,120000,4,3,KLM Builders,26,440,6500000,260,14,12,10,10200000
191,North Delhi,Shalimar Bagh,190,2,Wood,3900000,1800000,140000,90000,4,3,NOP Materials,22,400,5700000,220,12,10,9,8445000
192,East Delhi,Dilshad Garden,220,2,Brick,3600000,1700000,140000,95000,3,2,QRS Suppliers,21,410,5300000,220,10,8,7,7325000
193,West Delhi,Punjabi Bagh,200,1,Concrete,3300000,1600000,130000,85000,3,2,TUV Construction,20,390,4500000,180,8,7,7,5495000
